alpha,time_seconds
0.51,17.35294079198502
0.52,13.640114428999368
0.53,4.298900902009336
0.54,0.7768558560055681
0.55,0.17975129399565049
0.56,0.13400823599658906
0.57,0.13584835798246786
0.58,0.12720530401566066
0.59,0.13166589799220674
0.60,0.13332240501767956
0.61,0.12759763398207724
0.62,0.12642472999868914
0.63,0.13037242298014462
0.64,0.13180098400334828
0.65,0.13809147800202481
0.66,0.1310328659892548
0.67,0.1323280570213683
0.68,0.1333377769915387
0.69,0.13656743100727908
0.70,0.13629561598645523
0.71,0.14085664099548012
0.72,0.13448177301324904
0.73,0.13708494199090637
0.74,0.13674946999526583
0.75,0.14269348900415935
0.76,0.13453535799635574
0.77,0.1345943020132836
0.78,0.1347748819971457
0.79,0.13646210101433098
0.80,0.13613806999637745
0.81,0.14116569299949333
0.82,0.1380958830122836
0.83,0.1348515099962242
0.84,0.136120712995762
0.85,0.14250907499808818
0.86,0.13462231602170505
0.87,0.134856836986728
0.88,0.1365308979875408
0.89,0.13796341099077836
0.90,0.14199555400409736
0.91,0.13516433801851235
0.92,0.13505836599506438
0.93,0.13493929902324453
0.94,0.1418653829896357
0.95,0.1362761299824342
0.96,0.13514391001081094
0.97,0.13674455299042165
0.98,0.13755042900447734
